image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,5140BC,0.375
test001_2.jpg,B2407UZO,B2407UZO,0.0
test001_3.jpg,B2642PKM,B2842PKM,0.125
test002_1.jpg,BG1352AE,BC1352AE,0.125
test003_1.jpg,B2634UZF,B2663UZF,0.25
test003_2.jpg,B1995JVK,B1995,0.375
test004_1.jpg,B9062VEH,93027VEH,0.5
test005_1.jpg,DD3798KM,278798KM,0.375
test006_1.jpg,T1329KC,1329KC,0.143
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DK1167AAB,0.111
test008_2.jpg,AA1997FE,AA1997FE,0.0
test009_1.jpg,H8518NA,HW8018NA,0.286
test009_2.jpg,K1649GB,1649,0.429
test010_1.jpg,B9416PCN,B9416CPCN,0.125
test010_2.jpg,H1147UY,1127UYU,0.429
test011_1.jpg,H1691IL,1691IL,0.143
test011_2.jpg,B9374RI,B9311,0.571
test011_3.jpg,D1204AIG,1204AIG,0.125
test012_1.jpg,E1887BA,1887BA,0.143
test013_1.jpg,B1439UZP,B1439UZP,0.0
test013_2.jpg,B1128W0S,L128WOS,0.375
test014_1.jpg,B1388DFX,1388DFX,0.125
test015_1.jpg,AD1898BT,AD1778BT,0.25
test016_1.jpg,E1517DQ,16117DO,0.571
test017_1.jpg,AD8982FS,8892FS,0.375
test018_1.jpg,L7603UA,7603UA,0.143
test019_1.jpg,AD7HS,AD7HS,0.0
test019_2.jpg,B1959WYK,ERROR,1.0
test020_1.jpg,AG8634EK,ERROR,1.0
test020_2.jpg,AD1329PY,ERROR,1.0
test021_1.jpg,BA1709DW,ERROR,1.0
test021_2.jpg,W1236VZ,ERROR,1.0
test022_1.jpg,W1825OZ,ERROR,1.0
test022_2.jpg,L1202UE,ERROR,1.0
test022_3.jpg,L3823IB,ERROR,1.0
test023_1.jpg,B1730JLO,ERROR,1.0
test024_1.jpg,B2964TRU,ERROR,1.0
test025_1.jpg,S5585LP,ERROR,1.0
test025_2.jpg,L2858RR,ERROR,1.0
test025_3.jpg,W1185ZO,ERROR,1.0
test025_4.jpg,9840VU,ERROR,1.0
test026_1.jpg,N9652DF,ERROR,1.0
test026_2.jpg,L3836ZX,ERROR,1.0
test027_1.jpg,N1905IG,ERROR,1.0
test027_2.jpg,B1109CLR,ERROR,1.0
